customer_key,source_system,customer_id_source,CompanyName,ContactName,City,Country,PostalCode,Address,Phone
1,access,1,Company A,,Seattle,,,123 1st Street,
2,access,2,Company B,,Boston,,,123 2nd Street,
3,access,3,Company C,,Los Angelas,,,123 3rd Street,
4,access,4,Company D,,New York,,,123 4th Street,
5,access,5,Company E,,Minneapolis,,,123 5th Street,
6,access,6,Company F,,Milwaukee,,,123 6th Street,
7,access,7,Company G,,Boise,,,123 7th Street,
8,access,8,Company H,,Portland,,,123 8th Street,
9,access,9,Company I,,Salt Lake City,,,123 9th Street,
10,access,10,Company J,,Chicago,,,123 10th Street,
11,access,11,Company K,,Miami,,,123 11th Street,
12,access,12,Company L,,Las Vegas,,,123 12th Street,
13,access,13,Company M,,Memphis,,,456 13th Street,
14,access,14,Company N,,Denver,,,456 14th Street,
15,access,15,Company O,,Honolulu,,,456 15th Street,
16,access,16,Company P,,San Francisco,,,456 16th Street,
17,access,17,Company Q,,Seattle,,,456 17th Street,
18,access,18,Company R,,Boston,,,456 18th Street,
19,access,19,Company S,,Los Angelas,,,789 19th Street,
20,access,20,Company T,,New York,,,789 20th Street,
21,access,21,Company U,,Minneapolis,,,789 21th Street,
22,access,22,Company V,,Milwaukee,,,789 22th Street,
23,access,23,Company W,,Portland,,,789 23th Street,
24,access,24,Company X,,Salt Lake City,,,789 24th Street,
25,access,25,Company Y,,Chicago,,,789 25th Street,
26,access,26,Company Z,,Miami,,,789 26th Street,
27,access,27,Company AA,,Las Vegas,,,789 27th Street,
28,access,28,Company BB,,Memphis,,,789 28th Street,
29,access,29,Company CC,,Denver,,,789 29th Street,
30,sqlserver,ALFKI,Alfreds Futterkiste,Maria Anders,Berlin,Germany,12209,Obere Str. 57,030-0074321
31,sqlserver,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,México D.F.,Mexico,05021,Avda. de la Constitución 2222,(5) 555-4729
32,sqlserver,ANTON,Antonio Moreno Taquería,Antonio Moreno,México D.F.,Mexico,05023,Mataderos  2312,(5) 555-3932
33,sqlserver,AROUT,Around the Horn,Thomas Hardy,London,UK,WA1 1DP,120 Hanover Sq.,(171) 555-7788
34,sqlserver,BERGS,Berglunds snabbköp,Christina Berglund,Luleå,Sweden,S-958 22,Berguvsvägen  8,0921-12 34 65
35,sqlserver,BLAUS,Blauer See Delikatessen,Hanna Moos,Mannheim,Germany,68306,Forsterstr. 57,0621-08460
36,sqlserver,BLONP,Blondesddsl père et fils,Frédérique Citeaux,Strasbourg,France,67000,"24, place Kléber",88.60.15.31
37,sqlserver,BOLID,Bólido Comidas preparadas,Martín Sommer,Madrid,Spain,28023,"C/ Araquil, 67",(91) 555 22 82
38,sqlserver,BONAP,Bon app',Laurence Lebihan,Marseille,France,13008,"12, rue des Bouchers",91.24.45.40
39,sqlserver,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Tsawassen,Canada,T2F 8M4,23 Tsawassen Blvd.,(604) 555-4729
40,sqlserver,BSBEV,B's Beverages,Victoria Ashworth,London,UK,EC2 5NT,Fauntleroy Circus,(171) 555-1212
41,sqlserver,CACTU,Cactus Comidas para llevar,Patricio Simpson,Buenos Aires,Argentina,1010,Cerrito 333,(1) 135-5555
42,sqlserver,CENTC,Centro comercial Moctezuma,Francisco Chang,México D.F.,Mexico,05022,Sierras de Granada 9993,(5) 555-3392
43,sqlserver,CHOPS,Chop-suey Chinese,Yang Wang,Bern,Switzerland,3012,Hauptstr. 29,0452-076545
44,sqlserver,COMMI,Comércio Mineiro,Pedro Afonso,Sao Paulo,Brazil,05432-043,"Av. dos Lusíadas, 23",(11) 555-7647
45,sqlserver,CONSH,Consolidated Holdings,Elizabeth Brown,London,UK,WX1 6LT,Berkeley Gardens 12  Brewery,(171) 555-2282
46,sqlserver,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Aachen,Germany,52066,Walserweg 21,0241-039123
47,sqlserver,DUMON,Du monde entier,Janine Labrune,Nantes,France,44000,"67, rue des Cinquante Otages",40.67.88.88
48,sqlserver,EASTC,Eastern Connection,Ann Devon,London,UK,WX3 6FW,35 King George,(171) 555-0297
49,sqlserver,ERNSH,Ernst Handel,Roland Mendel,Graz,Austria,8010,Kirchgasse 6,7675-3425
